06-12-2017 | 10:58:59 |   192.168.4.23|user|Merchant All Transaction List|http://localhost/coupon/public/dashboard/merchnat-buy/coupon/list|Mozilla Firefox|windows|||
06-12-2017 | 10:59:00 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 10:59:05 |   192.168.4.23|user|Branch Transaction Pdf|http://localhost/coupon/public/dashboard/transaction/pdf/from-2017-06-12/to-2017-06-12/bid-0|Mozilla Firefox|windows|||
06-12-2017 | 10:59:06 |   192.168.4.23|user|AdminLogIn|http://localhost/coupon/public/adminlogin|Mozilla Firefox|windows|||
06-12-2017 | 10:59:08 |   192.168.4.23|user|Dashboard Merchant|http://localhost/coupon/public/dashboard/merchant|Mozilla Firefox|windows|||
06-12-2017 | 10:59:09 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 10:59:12 |   192.168.4.23|user|Merchant All Transaction List|http://localhost/coupon/public/dashboard/merchnat-buy/coupon/list|Mozilla Firefox|windows|||
06-12-2017 | 10:59:13 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 10:59:28 |   192.168.4.23|user|Merchant All Transaction List|http://localhost/coupon/public/dashboard/merchnat-buy/coupon/list?branch_name=9&coupon_name=0&search_from=2017-06-12&search_to=2017-06-12|Mozilla Firefox|windows|||
06-12-2017 | 10:59:29 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 10:59:32 |   192.168.4.23|user|Branch Transaction Pdf|http://localhost/coupon/public/dashboard/transaction/pdf/from-2017-06-12/to-2017-06-12/bid-9|Mozilla Firefox|windows|||
06-12-2017 | 10:59:32 |   192.168.4.23|user|AdminLogIn|http://localhost/coupon/public/adminlogin|Mozilla Firefox|windows|||
06-12-2017 | 10:59:34 |   192.168.4.23|user|Dashboard Merchant|http://localhost/coupon/public/dashboard/merchant|Mozilla Firefox|windows|||
06-12-2017 | 10:59:35 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 11:03:36 |   192.168.4.23|user|Merchant All Transaction List|http://localhost/coupon/public/dashboard/merchnat-buy/coupon/list|Mozilla Firefox|windows|||
06-12-2017 | 11:03:37 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 11:03:41 |   192.168.4.23|user|Branch Transaction Pdf|http://localhost/coupon/public/dashboard/transaction/pdf/from-2017-06-12/to-2017-06-12/bid-0|Mozilla Firefox|windows|||
06-12-2017 | 11:03:42 |   192.168.4.23|user|AdminLogIn|http://localhost/coupon/public/adminlogin|Mozilla Firefox|windows|||
06-12-2017 | 11:03:43 |   192.168.4.23|user|Dashboard Merchant|http://localhost/coupon/public/dashboard/merchant|Mozilla Firefox|windows|||
06-12-2017 | 11:03:45 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 11:04:35 |   192.168.4.23|user|Merchant All Transaction List|http://localhost/coupon/public/dashboard/merchnat-buy/coupon/list|Mozilla Firefox|windows|||
06-12-2017 | 11:04:36 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 11:05:09 |   192.168.4.23|user|Branch Transaction Pdf|http://localhost/coupon/public/dashboard/transaction/pdf/from-2017-06-12/to-2017-06-12/bid-0|Mozilla Firefox|windows|||
06-12-2017 | 11:05:10 |   192.168.4.23|user|AdminLogIn|http://localhost/coupon/public/adminlogin|Mozilla Firefox|windows|||
06-12-2017 | 11:05:11 |   192.168.4.23|user|Dashboard Merchant|http://localhost/coupon/public/dashboard/merchant|Mozilla Firefox|windows|||
06-12-2017 | 11:05:13 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 11:05:34 |   192.168.4.23|user|Dashboard Merchant|http://localhost/coupon/public/dashboard/merchant|Mozilla Firefox|windows|||
06-12-2017 | 11:05:35 |   192.168.4.23|user|AdminLogIn|http://localhost/coupon/public/adminlogin|Mozilla Firefox|windows|||
06-12-2017 | 11:05:36 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 11:05:37 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 11:05:40 |   192.168.4.23|user|LogIn|http://localhost/coupon/public/login|Mozilla Firefox|windows|||
06-12-2017 | 11:05:41 |   192.168.4.23|user|Dashboard Merchant|http://localhost/coupon/public/dashboard/merchant|Mozilla Firefox|windows|||
06-12-2017 | 11:05:50 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 11:05:53 |   192.168.4.23|user|Merchant All Transaction List|http://localhost/coupon/public/dashboard/merchnat-buy/coupon/list|Mozilla Firefox|windows|||
06-12-2017 | 11:05:54 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 11:05:57 |   192.168.4.23|user|Branch Transaction Pdf|http://localhost/coupon/public/dashboard/transaction/pdf/from-2017-06-12/to-2017-06-12/bid-0|Mozilla Firefox|windows|||
06-12-2017 | 11:05:58 |   192.168.4.23|user|AdminLogIn|http://localhost/coupon/public/adminlogin|Mozilla Firefox|windows|||
06-12-2017 | 11:05:59 |   192.168.4.23|user|Dashboard Merchant|http://localhost/coupon/public/dashboard/merchant|Mozilla Firefox|windows|||
06-12-2017 | 11:06:00 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 11:06:03 |   192.168.4.23|user|Merchant All Transaction List|http://localhost/coupon/public/dashboard/merchnat-buy/coupon/list|Mozilla Firefox|windows|||
06-12-2017 | 11:06:04 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 11:07:30 |   192.168.4.23|user|Branch Transaction Pdf|http://localhost/coupon/public/dashboard/transaction/pdf/from-2017-06-12/to-2017-06-12/bid-0|Mozilla Firefox|windows|||
06-12-2017 | 11:07:31 |   192.168.4.23|user|AdminLogIn|http://localhost/coupon/public/adminlogin|Mozilla Firefox|windows|||
06-12-2017 | 11:07:33 |   192.168.4.23|user|Dashboard Merchant|http://localhost/coupon/public/dashboard/merchant|Mozilla Firefox|windows|||
06-12-2017 | 11:07:34 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 11:07:37 |   192.168.4.23|user|Merchant All Transaction List|http://localhost/coupon/public/dashboard/merchnat-buy/coupon/list|Mozilla Firefox|windows|||
06-12-2017 | 11:07:38 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 11:09:41 |   192.168.4.23|user|Branch Transaction Pdf|http://localhost/coupon/public/dashboard/transaction/pdf/from-2017-06-12/to-2017-06-12/bid-0|Mozilla Firefox|windows|||
06-12-2017 | 11:09:42 |   192.168.4.23|user|AdminLogIn|http://localhost/coupon/public/adminlogin|Mozilla Firefox|windows|||
06-12-2017 | 11:09:44 |   192.168.4.23|user|Dashboard Merchant|http://localhost/coupon/public/dashboard/merchant|Mozilla Firefox|windows|||
06-12-2017 | 11:09:45 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 11:09:47 |   192.168.4.23|user|Merchant All Transaction List|http://localhost/coupon/public/dashboard/merchnat-buy/coupon/list|Mozilla Firefox|windows|||
06-12-2017 | 11:09:48 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 11:10:29 |   192.168.4.23|user|Merchant All Transaction List|http://localhost/coupon/public/dashboard/merchnat-buy/coupon/list|Mozilla Firefox|windows|||
06-12-2017 | 11:10:30 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 11:10:33 |   192.168.4.23|user|Branch Transaction Pdf|http://localhost/coupon/public/dashboard/transaction/pdf/from-2017-06-12/to-2017-06-12/bid-0|Mozilla Firefox|windows|||
06-12-2017 | 11:10:34 |   192.168.4.23|user|AdminLogIn|http://localhost/coupon/public/adminlogin|Mozilla Firefox|windows|||
06-12-2017 | 11:10:35 |   192.168.4.23|user|Dashboard Merchant|http://localhost/coupon/public/dashboard/merchant|Mozilla Firefox|windows|||
06-12-2017 | 11:10:36 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 11:10:39 |   192.168.4.23|user|Merchant All Transaction List|http://localhost/coupon/public/dashboard/merchnat-buy/coupon/list|Mozilla Firefox|windows|||
06-12-2017 | 11:10:41 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
